"id","code","name","city","country","additional_info"
48,AU,Newcastle AIrport (NTL),Newcastle,Australia,"Business lounge for ECO pax (departure) - 70,00 p/P Porter services - 85,00 (upto 4 bags)
Infants 0-2 yo - free; Children - no discount Booking - min. 3 working days in advance
Last minute requests + 30%"
50,AU,Whitsunday Coast Airport (PPP),Proserpine,Australia,"Business lounge for ECO pax (departure) - 70,00 p/P Porter services - 85,00 (upto 4 bags)
Infants 0-2 yo - free; Children - no discount Booking - min. 3 working days in advance Last minute requests + 30%"
51,AU,Rockhampton AIrport (ROK),Rockhampton,Australia,"Business lounge for ECO pax (departure) - 70,00 p/P Porter services - 85,00 (upto 4 bags)
Infants 0-2 yo - free; Children - no discount Booking - min. 3 working days in advance Last minute requests + 30%"
52,AU,Sunshine Coast Airport (MCY),Sunshine Coast,Australia,"Business lounge for ECO pax (departure) - 70,00 p/P Porter services - 85,00 (upto 4 bags)
Infants 0-2 yo - free; Children - no discount Booking - min. 3 working days in advance
Last minute requests + 30%"
53,AU,Kingsford Smith International Airport (SYD),Sydney,Australia,"Business lounge for ECO pax (departure) - 70,00 p/P Porter services - 85,00 (upto 4 bags)
Infants 0-2 yo - free; Children - no discount Booking - min. 3 working days in advance
Last minute requests + 30%"
54,AU,Townsville Airport (TSV),Townsville,Australia,"Business lounge for ECO pax (departure) - 70,00 p/P Porter services - 85,00 (upto 4 bags)
Infants 0-2 yo - free; Children - no discount Booking - min. 3 working days in advance
Last minute requests + 30%"
55,AU,Whyalla Airport (WYA),Whyalla,Australia,"Business lounge for ECO pax (departure) - 70,00 p/P Porter services - 85,00 (upto 4 bags)
Infants 0-2 yo - free; Children - no discount Booking - min. 3 working days in advance
Last minute requests + 30%"
56,AT,Thalerhof Airport (GRZ),Graz,Austria,"Sunday, Austrian holidays - services by request only!!! Business lounge (departure/transit) - 75,00 p/P
Porter services - 60,00 EUR (up to 3 bags) Children: 0-2yo - free; 2-12yo - 130,00
Last minute request (<2 days) + 25%"
57,AT,Kranebitten Airport (INN),Innsbruck,Austria,"Services by request only!!!
Business lounge (departure/transit) – 85,00 p/p Porter services - 60,00 EUR (up to 3 bags) Children: 0-2yo - free; 2-12yo - 150,00
Last minute request (less than 72 hours) + 25%"
58,AT,Kranebitten Airport (INN),Innsbruck,Austria,"Tarmac transfer from/to a/c incl.
Sunday, Austrian holidays - services by request only!!! Porter services incl.
Use of private lounge (departure only) + 250,00 p/hour (up to 4 pax)
Last minute request (less than 96 hours) + 25%"
59,AT,Linz - Blue Danube Airport Linz (LNZ),Linz,Austria,"Sunday, Austrian holidays - services by request only!!! Business lounge (departure/transit) - 75,00 p/P
Porter services - 60,00 EUR (up to 3 bags) Children: 0-2yo - free; 2-12yo - 130,00 Last minute request (<2 days) + 25%"
60,AT,Wien-Schwechat International Airport  (VIE),Vienna,Austria,"1 hour (departure or arrival) or 3 hours (transit) in VIP lounge incl. Every next hour +270,00 p/p
Night surcharge (22:00 - 07:00) = 210,00 p/request Porter Service incl. (up to 2 bags p/P)
Private transfer from/to a/c incl. Additional VIP vehicle + 220,00 Visitor pass – 70,00 p/p (max. 2 )
Inf: 0-2yo - free; children 2 - 11 – no discount Last minute fees <48 hours + 30%
Last minute fees <24 hours + 50%
Rebooking fees (anytime) + 160,00 p/request Cancellation fees: up to 72 hours – free; 72 – 48 hours – 25%; 48 – 24 hours – 50%, less than 24 hours or no-
show – 100%
Food, drinks etc - NOT INCL.!
Valet Parking (excl. parking fees) – 75,00 p/vehicle
Shower facility – 60,00 p/person"
61,AT,Wien-Schwechat International Airport  (VIE),Vienna,Austria,"Porter Service = 55,00 EUR up to 4 pieces of luggage Business lounge (departure/transit) - 75,00 p/P Private transfer from/to aircraft – N/A
Last minute fees <48 hours + 25%"
62,AT,Salzburg International Airport (SZG),Salzburg,Austria,"Porter Service = 55,00 EUR up to 4 pieces of luggage Business lounge (departure/transit) - 75,00 p/P Children: 0-2yo - free; 2-12yo - 60,00
Last minute request (<2 days) + 25%"
63,AT,Salzburg International Airport (SZG),Salzburg,Austria,"BY REQUEST ONLY
CONFIRMATION 24-48 HOURS BEFORE SERVICES!!!"
64,AZ,Heydar Aliyev International Airport (GYD) (International flights),Baku,Azerbaijan,"Porter' services incl.
Children: 0-2yo - free; 2-12yo - 250,00 Last minute request (<2 days) + 25%"
65,AZ,Heydar Aliyev International Airport (GYD) (Domestic flights),Baku,Azerbaijan,BY REQUEST ONLY
66,BS,Lynden Pindling International Airport (NAS),Nassau,Bahamas,"Porter' services - 55,00EUR (up to 4 bags) Children: 0-2yo - free; 2-12yo - 120,00 Last minute request (<3 days) + 25%"
67,BS,Leonard M. Thompson International Airport (MHH),Marsh Harbour,Bahamas,"Porter' services - 55,00EUR (up to 4 bags) Children: 0-2yo - free; 2-12yo - 120,00 Last minute request (<3 days) + 25%"
68,BH,Bahrain International Airport (BAH),Manama,Bahrain,"VIP Lounge upon arrival: 70,00 EUR p/P
VIP Premium lounge upon departure: 95,00 EUR p/P Porter services - 45,00 EUR (up to 3 bags)
Children: 0-2yo - free; 2-12yo - 145,00 Last minute <48 hours + 50%"
69,BH,Bahrain International Airport (BAH),Manama,Bahrain,"Porter services - 45,00 EUR (up to 3 bags) Children: 0-2yo - free; 2-12yo – no discount Last minute <48 hours + 50%"
70,BD,Hazrat Shahjalal International Airport (DAC),Dhaka,Bangladesh,"Lounge – 55,00 EUR p/P
Porter services – 25,00 up to 2 bags
Last minute request + 50% (96 – 72 hours prior) Last minute request +100% (less 72 hours prior) Service limited up to 2 hours.
Extra hour or part of it – 140,00 p/service
+ 25% - 21:00 – 07:00 & W/ends + holidays Children: 0-2yo - free;
2-12yo – 175,00"
71,BB,Grantley Adams International Airport (BGI),Bridgetown,Barbados,"VIP Lounge at departure incl. Porter' services incl.
Bodyguard' services - 350,00 EUR p/hour - by request Children: 0-2yo - free; 2-12yo - 140,00
Last minute <48 hours + 25%"
72,BY,Minsk National Airport (MSQ),Minsk,Belarus,"Private transfer from/to aircraft incl. VIP lounge incl.
Porter services (up to 2 bags) incl. Children 2-12 – 225,00
Last minute <72 hours + 25%
Cancellation: up to 72 hours – free; 72 – 48 hours –
25%; less than 48 hours – 100%"
73,BZ,Philip S.W. Goldson International Airport (BZE),Belize City,Belize,"Porter' services - 35,00 EUR (up to 3 bags) Business lounge (departure only) - 65,00 EUR p/p Children: 0-2yo - free; 2-12yo - 80,00
Last minute request (<3 days) + 25%"
74,BE,Bruxelles  National Airport  – Zaventem (BRU),Brussels,Belgium,"VIP Lounge – 65,00 EUR p/p.
+ 50% < 48 hours
Children: 0-2yo - free; 2-12yo - 115,00 Porter services + € 70,00 (up to 4 bags)"
75,BE,Bruxelles  National Airport  – Zaventem (BRU),Brussels,Belgium,"Full VIP services - by request only. Children: 0-2yo - free; 2-12yo - 175,00 Porter - incl.
Booking - 3 business days in advance!
+ 25% < 3 business days"
76,BE,Brussels South Charleroi Airport (CRL),Brussels / Charleroi,Belgium,"Porter' services - 55,00 EUR (up to 3 bags) Business lounge (departure only) - 75,00 EUR p/p Children: 0-2yo - free; 2-12yo - 100,00
Last minute request (<3 days) + 25%"
77,BJ,Cadjehoun Internationa Airport (COO),Cotonou,Benin,"Porter' services - 55,00 EUR (up to 3 bags) Business lounge (departure only) - 95,00 EUR p/p Children: 0-2yo - free; 2-12yo - 120,00
Last minute request (<3 days) + 25%"
78,BM,L.F. Wade International Airport (BDA),Hamilton,Bermuda,"Porter' services - 55,00 EUR (up to 4 bags) Business lounge (departure only) - 65,00 EUR p/p Children: 0-2yo - free; 2-12yo - 80,00
Last minute request (<3 days) + 25%"
79,BT,Paro International Airport (PBH),Paro,Bhutan,"All in. Private transportation - N/A Infants < 2yo - free-of-charge
Children (2-11yo): 150,00 EUR - arrival or departure; 210,00 EUR - transit
Last minute request (<3 days) + 25%"
